recipe_no,device,environment,source,video_name,video_index,frame_no_in_video,step_no,generated_text,polished_text
0,mevo,2,3,video-0000,0,0,0,#C C speaks to person X,Making pinwheels with peanut butter and jelly.
0,mevo,2,3,video-0000,0,1,0,#C C looks around,C is searching for something.
0,mevo,2,3,video-0000,0,2,0,#C C looks around,C makes pinwheels with tortillas.
0,mevo,2,3,video-0000,0,3,0,#C C drops the spice can ,C picks up the container.
0,mevo,2,3,video-0000,0,4,0,#C C picks the container,Picking up the container.
0,mevo,2,3,video-0000,0,5,0,#C C pours the tea on the chopping board,C is not doing anything related to making pinwheels with peanut butter and jelly and tortillas.
0,mevo,2,3,video-0000,0,6,0,#C C drops the container on the table,C is opening the container.
0,mevo,2,3,video-0000,0,7,0,#C C picks a knife from the table,C is preparing the ingredients.
0,mevo,2,3,video-0000,0,8,0,#C C drops the knife on the table with his right hand,C is setting the table.
0,mevo,2,3,video-0000,0,9,0,#C C picks the knife,C is getting the knife.
0,mevo,2,3,video-0000,0,10,0,#C C scoops the sauce with the knife,Spreading jelly with the knife.
0,mevo,2,3,video-0000,0,11,1,#C C picks the knife from the table,C is cutting the tortillas.
0,mevo,2,3,video-0000,0,12,1,#C C picks the fruit container,C is picking up the jelly container.
0,mevo,2,3,video-0000,0,13,1,#C C places the spoon in the container,C is spooning the jelly
0,mevo,2,3,video-0000,0,14,1,#C C picks the container,C spreads peanut butter on tortilla
0,mevo,2,3,video-0000,0,15,1,#C C picks up the sausage piece,C makes pinwheels.
0,mevo,2,3,video-0000,0,16,1,#C C cuts a piece of the spice from the plastic container,C spreads peanut butter and jelly on tortilla
0,mevo,2,3,video-0000,0,17,1,#C C puts the piece of food on the knife,Spreading peanut butter on tortilla.
0,mevo,2,3,video-0000,0,18,1,#C C picks the lid of the container with his right hand,C is opening the jelly container.
0,mevo,2,3,video-0000,0,19,1,#C C puts the piece of paper on the bread,C is spreading peanut butter on the tortilla.
0,mevo,2,3,video-0000,0,20,1,#C C pours the spice on the dough,C is spreading peanut butter on tortillas
0,mevo,2,3,video-0000,0,21,1,#C C puts the piece of pincers on the table ,C is arranging the tortillas.
0,mevo,2,3,video-0000,0,22,1,#C C moves the spice on the surface ,Spreading peanut butter and jelly.
0,mevo,2,3,video-0000,0,23,1,#C C scoops the pepper from the plastic container on the table,C spreads peanut butter on tortilla.
0,mevo,2,3,video-0000,0,24,1,#C C picks the container lid ,C is opening the jelly container.
0,mevo,2,3,video-0000,0,25,1,#C C puts the flower in the piece of paper,C spreads peanut butter on tortillas.
0,mevo,2,3,video-0000,0,26,1,#C C picks the container,"C makes pinwheels with tortilla, peanut butter, and jelly."
0,mevo,2,3,video-0000,0,27,2,#C C  picks up a piece of cake,C assembles a tortilla pinwheel.
0,mevo,2,3,video-0000,0,28,2,#C C scoops the salsa from the container,Spreading jelly on tortillas
0,mevo,2,3,video-0000,0,29,2,#C C pours the sauce on the dough.,C is preparing the tortilas.
0,mevo,2,3,video-0000,0,30,2,#C C cuts the packet of cookie,C is cutting the tortillas.
0,mevo,2,3,video-0000,0,31,2,#C C places the knife on the table,Preparing to make pinwheels.
0,mevo,2,3,video-0000,0,32,2,#C C places the knife on the chopping board.,Cutting the tortillas with knife.
0,mevo,2,3,video-0000,0,33,2,#C C puts the piece of butter on the cutting mat,Spreading peanut butter on tortilla
0,mevo,2,3,video-0000,0,34,2,#C C picks the knife from the chopping board,C is cutting the tortillas
0,mevo,2,3,video-0000,0,35,2,#C C puts the chopped piece of coconut on the chopping board.,C drops the knife on the table.
0,mevo,2,3,video-0000,0,36,2,#C C drops the knife on the table.,C is preparing to make pinwheels.
0,mevo,2,3,video-0000,0,37,2,#C C drops the knife on the chopping board,Knife is dropped by C
0,mevo,2,3,video-0000,0,38,2,#C C puts the bread slice in the plate of chopped onions with the knife in his right hand.,Making a sandwich with onions.
0,mevo,2,3,video-0000,0,39,2,#C C puts the piece of cucumber on the chopping board,C assembles the pinwheels
0,mevo,2,3,video-0000,0,40,2,#C C cuts the piece of cheese in the plate with the knife in her right hand.,C is cutting cheese with a knife.
0,mevo,2,3,video-0000,0,41,2,#C C places the cut piece of cake on the chopping board,Preparing the pinwheels
0,mevo,2,3,video-0000,0,42,2,#C C drops the piece of taco on the chopping board,C is preparing the taco filling.
0,mevo,2,3,video-0000,0,43,2,#C C places the spoon on the tortilla,C spreads peanut butter on tortilla
0,mevo,2,3,video-0000,0,44,2,#C C scoops the paste ,C is spreading peanut butter.
0,mevo,2,3,video-0000,0,45,2,#C C pours the vanilla,C is making a pinwheel.
0,mevo,2,3,video-0000,0,46,2,#C C spreads the cream on the cheese with the spatula,C is spreading peanut butter on tortillas.
0,mevo,2,3,video-0000,0,47,2,#C C scoops the sauce from the container,C is scooping jelly
0,mevo,2,3,video-0000,0,48,2,#C C scoops the mixture with a spoon,C is making the peanut butter and jelly mixture
0,mevo,2,3,video-0000,0,49,2,#C C spreads the curry powder ,C is using the spoon to scoop peanut butter and jelly mixture.
0,mevo,2,3,video-0000,0,50,2,#C C scoops the mixture ,C is using the spoon
0,mevo,2,3,video-0000,0,51,2,#C C scoops the food with the spoon ,C is spreading peanut butter.
0,mevo,2,3,video-0000,0,52,2,#C C picks the spoon,C is using the spoon.
0,mevo,2,3,video-0000,0,53,2,#C C mixes the ingredients,C is making pinwheels.
0,mevo,2,3,video-0000,0,54,2,#C C puts the spice in the food,C is making peanut butter and jelly pinwheels.
0,mevo,2,3,video-0000,0,55,2,#C C scoops the stew with the spoon,C is using a spoon to scoop the food
0,mevo,2,3,video-0000,0,56,2,#C C scoops the food with a spoon,Spreading peanut butter on tortilla
0,mevo,2,3,video-0000,0,57,2,#C C scoops sauce from the cup with the spoon in his right hand.,C is spreading sauce on tortillas.
0,mevo,2,3,video-0000,0,58,2,#C C pours the sauce on the dough on the knife in her right hand.,C is spreading jelly on the tortilla
0,mevo,2,3,video-0000,0,59,2,#C C adds the spice on the dough,C spreads peanut butter on tortillas
0,mevo,2,3,video-0000,0,60,2,#C C scoops sauce,Spreading peanut butter on tortillas.
0,mevo,2,3,video-0000,0,61,2,#C C puts the tea in the food, Spreading peanut butter and jelly on tortilla
0,mevo,2,3,video-0000,0,62,2,#C C spreads the food with a spoon,C is spreading the peanut butter and jelly on the tortilla.
0,mevo,2,3,video-0000,0,63,2,#C C scoops the sauce with the spoon,Making peanut butter and jelly.
0,mevo,2,3,video-0000,0,64,2,#C C scoops the sauce with the spoon,Making peanut butter and jelly pinwheels.
0,mevo,2,3,video-0000,0,65,2,#C C scoops sauce from the container with the spoon in his right hand.,C is spreading peanut butter.
0,mevo,2,3,video-0000,0,66,2,#C C pours the spice in the spice can,C is organizing the spices.
0,mevo,2,3,video-0000,0,67,2,#C C adds the spice on the piece of meat,C is spreading peanut butter and jelly on a tortilla.
0,mevo,2,3,video-0000,0,68,2,#C C scoops cream with a spoon,C is scooping cream.
0,mevo,2,3,video-0000,0,69,2,#C C scoops some sauce from the cup of sauce on the table with the spoon in his right hand.,C is spreading sauce on tortillas.
0,mevo,2,3,video-0000,0,70,2,#C C pours the spice on the dough,C is making pinwheels.
0,mevo,2,3,video-0000,0,71,2,#C C scoops the seasoning on the spoon from the container with the spoon in his right hand.,Spreading peanut butter on tortilas.
0,mevo,2,3,video-0000,0,72,2,#C C scoops the mixture of salt and spice from the container,C is seasoning the tortillas.
0,mevo,2,3,video-0000,0,73,2,#C C pours sauce on the chapati,Making peanut butter and jelly tortilla pinwheels
0,mevo,2,3,video-0000,0,74,2,#C C adds the spice to the food,C spreads peanut butter on a tortilla
0,mevo,2,3,video-0000,0,75,2,#C C pours sauce on the dough with a spoon ,C is spreading peanut butter and jelly on the tortilla.
0,mevo,2,3,video-0000,0,76,2,#C C spreads the sauce on the dough ,C is spreading peanut butter on the tortillas
0,mevo,2,3,video-0000,0,77,2,#C C puts the spice on the food,C makes peanut butter and jelly pinwheels
0,mevo,2,3,video-0000,0,78,2,#C C adds the spice on the pizza,"Based on the objects on the table, C spreads peanut butter and jelly on tortillas to make pinwheels."
0,mevo,2,3,video-0000,0,79,2,#C C stirs the food,C spreads peanut butter on tortillas.
0,mevo,2,3,video-0000,0,80,2,#C C scoops the sauce with a spoon,Spreading jelly using a spoon.
0,mevo,2,3,video-0000,0,81,2,#C C scoops sauce from the container with a spoon,Spreading jelly onto tortillas.
0,mevo,2,3,video-0000,0,82,2,#C C pours the sauce on the spoon in his right hand into the saucepan on the table.,C is transferring sauce into the saucepan.
0,mevo,2,3,video-0000,0,83,2,#C C scoops sauce from the container,C is scooping sauce.
0,mevo,2,3,video-0000,0,84,2,#C C scoops the sauce from the jar with the spoon in his right hand.,Spreading peanut butter on tortilla.
0,mevo,2,3,video-0000,0,85,2,#C C stirs the food with the spoon ,C spreads peanut butter and jelly on the tortilla
0,mevo,2,3,video-0000,0,86,2,#C C scoops the sauce on the spoon,C is spreading the peanut butter on the tortilla.
0,mevo,2,3,video-0000,0,87,2,#C C spreads the sauce on the food,Spreading peanut butter and jelly
0,mevo,2,3,video-0000,0,88,2,#C C scoops sauce from the container with the spoon,C is spreading sauce with spoon.
0,mevo,2,3,video-0000,0,89,2,#C C adds spice on the food with a knife,C is spreading peanut butter on the tortilla with a knife
0,mevo,2,3,video-0000,0,90,2,#C C scoops seasoning from the container with the knife in his right hand.,C is spreading peanut butter.
0,mevo,2,3,video-0000,0,91,2,#C C scoops the sauce from the container with the spoon in his right hand.,Spreading jelly with a spoon.
0,mevo,2,3,video-0000,0,92,2,#C C stirs the sauce with a spoon,C is stirring the sauce.
0,mevo,2,3,video-0000,0,93,2,#C C puts the spice in the spoon,C is putting peanut butter in the spoon.
0,mevo,2,3,video-0000,0,94,2,#C C scoops the filler with a knife,Making pinwheels with tortillas
0,mevo,2,3,video-0000,0,95,2,#C C pours the spice from the spice can into the taco with the spoon.,C is preparing the taco seasoning.
0,mevo,2,3,video-0000,0,96,2,#C C spreads the sauce on the piece of cheese,Spreading sauce on tortilla.
